model,Accuracy,F1_macro,F1_weighted,AUC_ovo
LogisticRegression,0.5046248715313464,0.24150843881856546,0.40522292834809914,0.6860778007932727
Random Forest,0.5868448098663926,0.36997859654540804,0.5263462736580842,0.7525170789505543
XGBoost,0.632065775950668,0.4644446502047149,0.6086901953111818,0.7838118792467592
CNN,0.3607399794450154,0.10604229607250755,0.19126847852749307,0.500265158394386
